School Year,State,District Code,District Name,School Code,School Name,Total,Hispanic / Latino of any race(s),American Indian / Alaskan Native,Asian,Black / African American,Native Hawaiian / Other Pacific Islander,White,Two or More Races,Not Provided*,Male,Female,Hispanic / Latino of any race(s)_M,Hispanic / Latino of any race(s)_F,American Indian / Alaskan Native_M,American Indian / Alaskan Native_F,Asian_M,Asian_F,Black / African American_M,Black / African American_F,Native Hawaiian / Other Pacific Islander_M,Native Hawaiian / Other Pacific Islander_F,White_M,White_F,Two or More Races_M,Two or More Races_F,Not Provided_M*,Not Provided_F*,% Hispanic / Latino of any race(s),% American Indian / Alaskan Native,% Asian,% Black / African American,% Native Hawaiian / Other Pacific Islander,% White,% Two or More Races,% Not Provided*,% Male,% Female
2015,WA,14005,Aberdeen School District,2834,A J West Elementary,410,183,19,9,4,0,183,12,0,221,189,94,89,12,7,6,3,3,1,0,0,98,85,8,4,0,0,44.63,4.63,2.20,0.98,0.00,44.63,2.93,0.00,53.90,46.10
2015,WA,14005,Aberdeen School District,3216,Central Park Elementary,174,25,5,3,1,0,122,18,0,87,87,16,9,1,4,1,2,1,0,0,0,58,64,10,8,0,0,14.37,2.87,1.72,0.57,0.00,70.11,10.34,0.00,50.00,50.00
2015,WA,14005,Aberdeen School District,4267,Grays Harbor Juvenile Detention,23,4,4,0,1,0,14,0,0,16,7,1,3,3,1,0,0,1,0,0,0,11,3,0,0,0,0,17.39,17.39,0.00,4.35,0.00,60.87,0.00,0.00,69.57,30.43
2015,WA,14005,Aberdeen School District,3857,Harbor High School,116,23,6,1,2,0,76,8,0,64,52,14,9,3,3,0,1,2,0,0,0,42,34,3,5,0,0,19.83,5.17,0.86,1.72,0.00,65.52,6.90,0.00,55.17,44.83
2015,WA,14005,Aberdeen School District,3154,Hopkins Elementary,42,10,0,0,1,0,26,5,0,26,16,6,4,0,0,0,0,1,0,0,0,15,11,4,1,0,0,23.81,0.00,0.00,2.38,0.00,61.90,11.90,0.00,61.90,38.10
2015,WA,14005,Aberdeen School District,3476,J M Weatherwax High School,910,225,38,33,15,5,568,26,0,477,433,122,103,16,22,18,15,12,3,3,2,295,273,11,15,0,0,24.73,4.18,3.63,1.65,0.55,62.42,2.86,0.00,52.42,47.58
2015,WA,14005,Aberdeen School District,2449,McDermoth Elementary,373,112,14,7,3,0,215,22,0,177,196,49,63,8,6,4,3,1,2,0,0,104,111,11,11,0,0,30.03,3.75,1.88,0.80,0.00,57.64,5.90,0.00,47.45,52.55
2015,WA,14005,Aberdeen School District,2305,Miller Junior High,442,117,20,11,3,3,278,10,0,218,224,62,55,8,12,4,7,0,3,0,3,140,138,4,6,0,0,26.47,4.52,2.49,0.68,0.68,62.90,2.26,0.00,49.32,50.68
2015,WA,14005,Aberdeen School District,2763,Robert Gray Elementary,303,102,8,2,2,0,168,21,0,147,156,46,56,3,5,2,0,1,1,0,0,83,85,12,9,0,0,33.66,2.64,0.66,0.66,0.00,55.45,6.93,0.00,48.51,51.49
2015,WA,14005,Aberdeen School District,2971,Stevens Elementary School,477,158,32,19,10,2,228,28,0,250,227,78,80,17,15,9,10,3,7,1,1,129,99,13,15,0,0,33.12,6.71,3.98,2.10,0.42,47.80,5.87,0.00,52.41,47.59
2015,WA,21226,Adna School District,2227,Adna Elementary School,246,16,1,3,2,0,223,1,0,132,114,11,5,1,0,2,1,0,2,0,0,117,106,1,0,0,0,6.50,0.41,1.22,0.81,0.00,90.65,0.41,0.00,53.66,46.34
2015,WA,21226,Adna School District,2441,Adna Middle/High School,366,19,2,1,1,0,330,13,0,191,175,7,12,1,1,0,1,1,0,0,0,178,152,4,9,0,0,5.19,0.55,0.27,0.27,0.00,90.16,3.55,0.00,52.19,47.81
2015,WA,22017,Almira School District,2860,Almira Elementary School,115,8,0,2,1,0,100,4,0,63,52,4,4,0,0,0,2,1,0,0,0,55,45,3,1,0,0,6.96,0.00,1.74,0.87,0.00,86.96,3.48,0.00,54.78,45.22
2015,WA,29103,Anacortes School District,2467,Anacortes High School,811,66,10,28,14,1,686,6,0,400,411,29,37,7,3,20,8,6,8,0,1,335,351,3,3,0,0,8.14,1.23,3.45,1.73,0.12,84.59,0.74,0.00,49.32,50.68
2015,WA,29103,Anacortes School District,2707,Anacortes Middle School,425,30,3,24,7,2,351,8,0,236,189,14,16,0,3,13,11,3,4,1,1,200,151,5,3,0,0,7.06,0.71,5.65,1.65,0.47,82.59,1.88,0.00,55.53,44.47
2015,WA,29103,Anacortes School District,5176,Cap Sante High School,54,4,1,0,0,0,48,1,0,22,32,1,3,0,1,0,0,0,0,0,0,20,28,1,0,0,0,7.41,1.85,0.00,0.00,0.00,88.89,1.85,0.00,40.74,59.26
2015,WA,29103,Anacortes School District,3182,Fidalgo Elementary,432,37,3,12,6,2,362,10,0,231,201,18,19,1,2,5,7,3,3,1,1,197,165,6,4,0,0,8.56,0.69,2.78,1.39,0.46,83.80,2.31,0.00,53.47,46.53
2015,WA,29103,Anacortes School District,3252,Island View Elementary,413,40,2,12,6,0,348,5,0,203,210,13,27,1,1,3,9,3,3,0,0,181,167,2,3,0,0,9.69,0.48,2.91,1.45,0.00,84.26,1.21,0.00,49.15,50.85
2015,WA,29103,Anacortes School District,3057,Mount Erie Elementary,488,47,2,15,8,2,401,13,0,245,243,20,27,1,1,10,5,2,6,2,0,202,199,8,5,0,0,9.63,0.41,3.07,1.64,0.41,82.17,2.66,0.00,50.20,49.80
2015,WA,29103,Anacortes School District,3404,Whitney Elementary Anacortes,129,8,0,2,1,1,114,3,0,72,57,2,6,0,0,0,2,0,1,0,1,68,46,2,1,0,0,6.20,0.00,1.55,0.78,0.78,88.37,2.33,0.00,55.81,44.19
2015,WA,31016,Arlington School District,2523,Arlington High School,"1,654",158,23,32,22,18,"1,361",40,0,852,802,80,78,10,13,11,21,15,7,9,9,707,654,20,20,0,0,9.55,1.39,1.93,1.33,1.09,82.29,2.42,0.00,51.51,48.49
2015,WA,31016,Arlington School District,2277,Arlington Special Educ School,33,6,1,0,0,0,25,1,0,19,14,5,1,0,1,0,0,0,0,0,0,14,11,0,1,0,0,18.18,3.03,0.00,0.00,0.00,75.76,3.03,0.00,57.58,42.42
2015,WA,31016,Arlington School District,4327,Eagle Creek Elementary,552,110,4,4,2,0,403,29,0,310,242,64,46,3,1,4,0,0,2,0,0,224,179,15,14,0,0,19.93,0.72,0.72,0.36,0.00,73.01,5.25,0.00,56.16,43.84
2015,WA,31016,Arlington School District,5010,Haller Middle School,677,81,8,20,10,6,523,29,0,336,341,36,45,4,4,8,12,5,5,3,3,265,258,15,14,0,0,11.96,1.18,2.95,1.48,0.89,77.25,4.28,0.00,49.63,50.37
2015,WA,31016,Arlington School District,4436,Kent Prairie Elementary,614,72,4,7,7,1,475,48,0,320,294,31,41,2,2,5,2,2,5,0,1,253,222,27,21,0,0,11.73,0.65,1.14,1.14,0.16,77.36,7.82,0.00,52.12,47.88
2015,WA,31016,Arlington School District,4573,Pioneer Elementary,603,66,2,9,11,3,467,45,0,306,297,29,37,2,0,4,5,2,9,2,1,248,219,19,26,0,0,10.95,0.33,1.49,1.82,0.50,77.45,7.46,0.00,50.75,49.25
2015,WA,31016,Arlington School District,3124,Post Middle School,568,67,8,11,4,2,459,17,0,287,281,34,33,4,4,4,7,1,3,1,1,233,226,10,7,0,0,11.80,1.41,1.94,0.70,0.35,80.81,2.99,0.00,50.53,49.47
2015,WA,31016,Arlington School District,4154,Presidents Elementary,571,68,11,0,5,0,436,51,0,311,260,38,30,6,5,0,0,3,2,0,0,234,202,30,21,0,0,11.91,1.93,0.00,0.88,0.00,76.36,8.93,0.00,54.47,45.53
2015,WA,31016,Arlington School District,1714,Stillaguamish School,131,7,0,2,1,0,118,3,0,69,62,2,5,0,0,2,0,1,0,0,0,62,56,2,1,0,0,5.34,0.00,1.53,0.76,0.00,90.08,2.29,0.00,52.67,47.33
2015,WA,31016,Arlington School District,4287,Weston High School,132,16,1,0,1,0,108,6,0,76,56,13,3,0,1,0,0,1,0,0,0,60,48,2,4,0,0,12.12,0.76,0.00,0.76,0.00,81.82,4.55,0.00,57.58,42.42
2015,WA,2420,Asotin-Anatone School District,2507,Asotin Elementary,281,16,1,0,1,0,243,20,0,136,145,10,6,0,1,0,0,0,1,0,0,114,129,12,8,0,0,5.69,0.36,0.00,0.36,0.00,86.48,7.12,0.00,48.40,51.60
2015,WA,2420,Asotin-Anatone School District,2434,Asotin Jr Sr High,341,26,4,3,0,0,292,16,0,167,174,13,13,0,4,2,1,0,0,0,0,144,148,8,8,0,0,7.62,1.17,0.88,0.00,0.00,85.63,4.69,0.00,48.97,51.03
2015,WA,17408,Auburn School District,3825,Alpac Elementary School,525,137,2,52,13,16,252,53,0,277,248,68,69,1,1,20,32,9,4,12,4,136,116,31,22,0,0,26.10,0.38,9.90,2.48,3.05,48.00,10.10,0.00,52.76,47.24
2015,WA,17408,Auburn School District,5082,Arthur Jacobsen Elementary,576,127,0,81,46,11,256,55,0,279,297,64,63,0,0,38,43,22,24,5,6,122,134,28,27,0,0,22.05,0.00,14.06,7.99,1.91,44.44,9.55,0.00,48.44,51.56
2015,WA,17408,Auburn School District,5037,Auburn Mountainview High School,"1,532",228,11,143,131,26,890,103,0,780,752,97,131,6,5,80,63,75,56,13,13,455,435,54,49,0,0,14.88,0.72,9.33,8.55,1.70,58.09,6.72,0.00,50.91,49.09
2015,WA,17408,Auburn School District,4474,Auburn Riverside High School,"1,635",381,9,172,83,31,843,116,0,786,849,181,200,4,5,78,94,40,43,14,17,403,440,66,50,0,0,23.30,0.55,10.52,5.08,1.90,51.56,7.09,0.00,48.07,51.93
2015,WA,17408,Auburn School District,2795,Auburn Senior High School,"1,549",379,54,87,123,59,726,121,0,819,730,205,174,31,23,50,37,67,56,32,27,372,354,62,59,0,0,24.47,3.49,5.62,7.94,3.81,46.87,7.81,0.00,52.87,47.13
2015,WA,17408,Auburn School District,2394,Cascade Middle School,735,163,2,52,70,39,351,58,0,395,340,87,76,2,0,29,23,41,29,21,18,190,161,25,33,0,0,22.18,0.27,7.07,9.52,5.31,47.76,7.89,0.00,53.74,46.26
2015,WA,17408,Auburn School District,3439,Chinook Elementary School,386,160,61,9,17,10,90,39,0,212,174,86,74,35,26,6,3,10,7,5,5,52,38,18,21,0,0,41.45,15.80,2.33,4.40,2.59,23.32,10.10,0.00,54.92,45.08
2015,WA,17408,Auburn School District,2932,Dick Scobee Elementary School,512,132,1,28,53,30,204,64,0,261,251,67,65,0,1,14,14,22,31,16,14,114,90,28,36,0,0,25.78,0.20,5.47,10.35,5.86,39.84,12.50,0.00,50.98,49.02
2015,WA,17408,Auburn School District,3745,Evergreen Heights Elementary,529,119,0,61,61,18,205,65,0,248,281,57,62,0,0,32,29,27,34,7,11,96,109,29,36,0,0,22.50,0.00,11.53,11.53,3.40,38.75,12.29,0.00,46.88,53.12
2015,WA,17408,Auburn School District,3669,Gildo Rey Elementary School,598,298,5,30,27,51,135,52,0,304,294,158,140,3,2,18,12,15,12,22,29,69,66,19,33,0,0,49.83,0.84,5.02,4.52,8.53,22.58,8.70,0.00,50.84,49.16
2015,WA,17408,Auburn School District,4347,Hazelwood Elementary School,573,154,5,38,13,13,305,45,0,289,284,89,65,1,4,20,18,3,10,9,4,142,163,25,20,0,0,26.88,0.87,6.63,2.27,2.27,53.23,7.85,0.00,50.44,49.56
2015,WA,17408,Auburn School District,4417,Ilalko Elementary School,625,183,7,50,20,20,267,78,0,306,319,100,83,4,3,22,28,10,10,10,10,118,149,42,36,0,0,29.28,1.12,8.00,3.20,3.20,42.72,12.48,0.00,48.96,51.04
2015,WA,17408,Auburn School District,4120,Lake View Elementary School,348,50,0,11,1,3,253,30,0,187,161,23,27,0,0,8,3,1,0,2,1,136,117,17,13,0,0,14.37,0.00,3.16,0.29,0.86,72.70,8.62,0.00,53.74,46.26
2015,WA,17408,Auburn School District,5051,Lakeland Hills Elementary,669,131,6,72,31,3,355,71,0,327,342,72,59,4,2,32,40,14,17,3,0,168,187,34,37,0,0,19.58,0.90,10.76,4.63,0.45,53.06,10.61,0.00,48.88,51.12
2015,WA,17408,Auburn School District,3525,Lea Hill Elementary School,403,60,1,23,72,8,188,51,0,223,180,28,32,1,0,14,9,35,37,7,1,109,79,29,22,0,0,14.89,0.25,5.71,17.87,1.99,46.65,12.66,0.00,55.33,44.67
2015,WA,17408,Auburn School District,4462,Mt Baker Middle School,914,270,5,75,47,24,418,75,0,461,453,128,142,2,3,39,36,26,21,10,14,210,208,46,29,0,0,29.54,0.55,8.21,5.14,2.63,45.73,8.21,0.00,50.44,49.56
2015,WA,17408,Auburn School District,3169,Olympic Middle School,703,251,35,42,39,48,235,53,0,372,331,140,111,24,11,20,22,16,23,26,22,121,114,25,28,0,0,35.70,4.98,5.97,5.55,6.83,33.43,7.54,0.00,52.92,47.08
2015,WA,17408,Auburn School District,3227,Pioneer Elementary School,499,302,1,22,16,24,102,32,0,243,256,146,156,1,0,11,11,8,8,9,15,52,50,16,16,0,0,60.52,0.20,4.41,3.21,4.81,20.44,6.41,0.00,48.70,51.30
2015,WA,17408,Auburn School District,4385,Rainier Middle School,877,160,4,84,95,12,467,55,0,444,433,80,80,4,0,35,49,40,55,9,3,244,223,32,23,0,0,18.24,0.46,9.58,10.83,1.37,53.25,6.27,0.00,50.63,49.37
2015,WA,17408,Auburn School District,1915,Special Ed School,132,46,1,9,6,3,59,8,0,88,44,27,19,0,1,5,4,2,4,2,1,47,12,5,3,0,0,34.85,0.76,6.82,4.55,2.27,44.70,6.06,0.00,66.67,33.33
2015,WA,17408,Auburn School District,2659,Terminal Park Elementary School,410,97,3,17,34,30,172,57,0,205,205,42,55,2,1,9,8,19,15,16,14,86,86,31,26,0,0,23.66,0.73,4.15,8.29,7.32,41.95,13.90,0.00,50.00,50.00
2015,WA,17408,Auburn School District,2326,Washington Elementary School,458,127,0,12,41,39,158,81,0,212,246,54,73,0,0,8,4,28,13,19,20,71,87,32,49,0,0,27.73,0.00,2.62,8.95,8.52,34.50,17.69,0.00,46.29,53.71
2015,WA,17408,Auburn School District,2702,West Auburn Senior High School,260,92,8,5,15,6,99,35,0,121,139,40,52,0,8,1,4,6,9,4,2,55,44,15,20,0,0,35.38,3.08,1.92,5.77,2.31,38.08,13.46,0.00,46.54,53.46
2015,WA,18303,Bainbridge Island School District,2395,Bainbridge High School,"1,262",68,5,54,13,1,"1,034",87,0,623,639,29,39,4,1,24,30,6,7,1,0,519,515,40,47,0,0,5.39,0.40,4.28,1.03,0.08,81.93,6.89,0.00,49.37,50.63
2015,WA,18303,Bainbridge Island School District,1939,Bainbridge Special Education Services,34,1,1,1,0,0,31,0,0,24,10,1,0,0,1,1,0,0,0,0,0,22,9,0,0,0,0,2.94,2.94,2.94,0.00,0.00,91.18,0.00,0.00,70.59,29.41
2015,WA,18303,Bainbridge Island School District,3552,Capt Johnston Blakely Elem Sch,367,19,5,9,2,0,307,25,0,206,161,10,9,2,3,7,2,1,1,0,0,172,135,14,11,0,0,5.18,1.36,2.45,0.54,0.00,83.65,6.81,0.00,56.13,43.87
2015,WA,18303,Bainbridge Island School District,3043,Capt. Charles Wilkes Elem School,396,25,0,7,0,0,327,37,0,219,177,12,13,0,0,4,3,0,0,0,0,183,144,20,17,0,0,6.31,0.00,1.77,0.00,0.00,82.58,9.34,0.00,55.30,44.70
2015,WA,18303,Bainbridge Island School District,1935,Eagle Harbor High School,144,6,0,3,0,0,125,10,0,74,70,1,5,0,0,2,1,0,0,0,0,65,60,6,4,0,0,4.17,0.00,2.08,0.00,0.00,86.81,6.94,0.00,51.39,48.61
2015,WA,18303,Bainbridge Island School District,1841,Mosaic Home Education Partnership,57,5,0,0,0,0,46,6,0,30,27,3,2,0,0,0,0,0,0,0,0,24,22,3,3,0,0,8.77,0.00,0.00,0.00,0.00,80.70,10.53,0.00,52.63,47.37
2015,WA,18303,Bainbridge Island School District,1699,Odyssey Multiage Program,126,5,0,4,1,2,109,5,0,67,59,2,3,0,0,0,4,0,1,1,1,62,47,2,3,0,0,3.97,0.00,3.17,0.79,1.59,86.51,3.97,0.00,53.17,46.83
2015,WA,18303,Bainbridge Island School District,4062,Ordway Elementary,402,37,3,19,4,0,290,49,0,193,209,20,17,2,1,7,12,3,1,0,0,135,155,26,23,0,0,9.20,0.75,4.73,1.00,0.00,72.14,12.19,0.00,48.01,51.99
2015,WA,18303,Bainbridge Island School District,4542,Sakai Intermediate,574,47,4,17,2,0,466,38,0,284,290,25,22,1,3,6,11,1,1,0,0,234,232,17,21,0,0,8.19,0.70,2.96,0.35,0.00,81.18,6.62,0.00,49.48,50.52
2015,WA,18303,Bainbridge Island School District,4505,Woodward Middle School,538,38,5,21,5,1,407,61,0,276,262,24,14,2,3,10,11,4,1,1,0,205,202,30,31,0,0,7.06,0.93,3.90,0.93,0.19,75.65,11.34,0.00,51.30,48.70
2015,WA,6119,Battle Ground School District,2671,Amboy Middle School,620,19,1,0,0,0,590,10,0,316,304,4,15,1,0,0,0,0,0,0,0,304,286,7,3,0,0,3.06,0.16,0.00,0.00,0.00,95.16,1.61,0.00,50.97,49.03
2015,WA,6119,Battle Ground School District,2415,Battle Ground High School,"2,193",149,4,20,15,10,"1,901",94,0,"1,181","1,012",74,75,3,1,8,12,8,7,5,5,"1,022",879,61,33,0,0,6.79,0.18,0.91,0.68,0.46,86.68,4.29,0.00,53.85,46.15
2015,WA,6119,Battle Ground School District,1836,CAM Academy,587,27,0,11,0,0,521,28,0,284,303,8,19,0,0,5,6,0,0,0,0,251,270,20,8,0,0,4.60,0.00,1.87,0.00,0.00,88.76,4.77,0.00,48.38,51.62
2015,WA,6119,Battle Ground School District,4352,Captain Strong,651,71,1,6,4,1,535,33,0,357,294,40,31,1,0,4,2,4,0,0,1,291,244,17,16,0,0,10.91,0.15,0.92,0.61,0.15,82.18,5.07,0.00,54.84,45.16
2015,WA,6119,Battle Ground School District,5133,Chief Umtuch Middle,592,55,3,12,3,3,483,33,0,333,259,21,34,3,0,7,5,2,1,3,0,280,203,17,16,0,0,9.29,0.51,2.03,0.51,0.51,81.59,5.57,0.00,56.25,43.75
2015,WA,6119,Battle Ground School District,5089,Daybreak Middle,509,45,1,8,2,3,425,25,0,263,246,26,19,0,1,3,5,1,1,2,1,218,207,13,12,0,0,8.84,0.20,1.57,0.39,0.59,83.50,4.91,0.00,51.67,48.33
2015,WA,6119,Battle Ground School District,5090,Daybreak Primary,580,51,1,5,6,2,485,30,0,301,279,33,18,0,1,3,2,4,2,1,1,244,241,16,14,0,0,8.79,0.17,0.86,1.03,0.34,83.62,5.17,0.00,51.90,48.10
2015,WA,6119,Battle Ground School District,3018,Glenwood Heights Primary,643,63,0,21,8,2,514,35,0,303,340,32,31,0,0,8,13,4,4,1,1,243,271,15,20,0,0,9.80,0.00,3.27,1.24,0.31,79.94,5.44,0.00,47.12,52.88
2015,WA,6119,Battle Ground School District,1875,Homelink River,976,64,3,12,13,1,836,47,0,452,524,22,42,1,2,1,11,7,6,0,1,397,439,24,23,0,0,6.56,0.31,1.23,1.33,0.10,85.66,4.82,0.00,46.31,53.69
2015,WA,6119,Battle Ground School District,3545,Laurin Middle School,594,70,1,31,6,2,454,30,0,300,294,34,36,0,1,20,11,4,2,1,1,226,228,15,15,0,0,11.78,0.17,5.22,1.01,0.34,76.43,5.05,0.00,50.51,49.49
2015,WA,6119,Battle Ground School District,5291,Maple Grove K-8,503,52,1,15,1,5,400,29,0,245,258,25,27,1,0,5,10,0,1,3,2,195,205,16,13,0,0,10.34,0.20,2.98,0.20,0.99,79.52,5.77,0.00,48.71,51.29
2015,WA,6119,Battle Ground School District,5360,Open Doors Battle Ground,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00
2015,WA,6119,Battle Ground School District,3997,Pleasant Valley Middle,497,81,5,14,3,2,352,40,0,256,241,41,40,2,3,8,6,0,3,0,2,181,171,24,16,0,0,16.30,1.01,2.82,0.60,0.40,70.82,8.05,0.00,51.51,48.49
2015,WA,6119,Battle Ground School District,3996,Pleasant Valley Primary,606,75,7,38,6,9,423,48,0,299,307,30,45,2,5,20,18,2,4,7,2,209,214,29,19,0,0,12.38,1.16,6.27,0.99,1.49,69.80,7.92,0.00,49.34,50.66
2015,WA,6119,Battle Ground School District,4104,Prairie High School,"1,557",170,3,56,13,4,"1,204",107,0,787,770,97,73,2,1,28,28,8,5,3,1,598,606,51,56,0,0,10.92,0.19,3.60,0.83,0.26,77.33,6.87,0.00,50.55,49.45
2015,WA,6119,Battle Ground School District,4108,Preschool Infant Other,33,4,0,1,1,1,26,0,0,23,10,2,2,0,0,1,0,1,0,1,0,18,8,0,0,0,0,12.12,0.00,3.03,3.03,3.03,78.79,0.00,0.00,69.70,30.30
2015,WA,6119,Battle Ground School District,4450,Summit View High School,412,22,3,1,1,0,365,20,0,215,197,8,14,2,1,0,1,0,1,0,0,198,167,7,13,0,0,5.34,0.73,0.24,0.24,0.00,88.59,4.85,0.00,52.18,47.82
2015,WA,6119,Battle Ground School District,5131,Tukes Valley Middle School,532,38,0,3,2,0,471,18,0,262,270,17,21,0,0,1,2,0,2,0,0,234,237,10,8,0,0,7.14,0.00,0.56,0.38,0.00,88.53,3.38,0.00,49.25,50.75
2015,WA,6119,Battle Ground School District,5132,Tukes Valley Primary ,644,50,0,2,0,0,551,41,0,327,317,26,24,0,0,2,0,0,0,0,0,278,273,21,20,0,0,7.76,0.00,0.31,0.00,0.00,85.56,6.37,0.00,50.78,49.22
2015,WA,6119,Battle Ground School District,2910,Yacolt Primary,822,18,1,0,0,0,781,22,0,437,385,13,5,1,0,0,0,0,0,0,0,407,374,16,6,0,0,2.19,0.12,0.00,0.00,0.00,95.01,2.68,0.00,53.16,46.84
2015,WA,17405,Bellevue School District,3633,Ardmore Elementary School,343,116,0,74,29,2,97,24,1,170,173,61,55,0,0,30,44,15,14,1,1,51,46,11,13,1,0,33.82,0.00,21.57,8.45,0.58,28.28,7.00,0.29,49.56,50.44
2015,WA,17405,Bellevue School District,5240,Bellevue Big Picture School,343,23,1,67,11,0,215,26,0,196,147,11,12,1,0,39,28,6,5,0,0,129,86,10,16,0,0,6.71,0.29,19.53,3.21,0.00,62.68,7.58,0.00,57.14,42.86
2015,WA,17405,Bellevue School District,2701,Bellevue High School,"1,545",103,3,416,50,5,831,137,0,871,674,67,36,2,1,220,196,37,13,2,3,474,357,69,68,0,0,6.67,0.19,26.93,3.24,0.32,53.79,8.87,0.00,56.38,43.62
2015,WA,17405,Bellevue School District,3705,Bennett Elementary School,476,29,0,179,5,2,234,27,0,252,224,16,13,0,0,94,85,2,3,2,0,119,115,19,8,0,0,6.09,0.00,37.61,1.05,0.42,49.16,5.67,0.00,52.94,47.06
2015,WA,17405,Bellevue School District,1832,Bsd Voc Ed/Career Educ Options,29,0,0,0,0,0,26,3,0,26,3,0,0,0,0,0,0,0,0,0,0,23,3,3,0,0,0,0.00,0.00,0.00,0.00,0.00,89.66,10.34,0.00,89.66,10.34
2015,WA,17405,Bellevue School District,5281,Central Educational Services,94,25,1,21,3,0,36,8,0,66,28,13,12,1,0,17,4,3,0,0,0,25,11,7,1,0,0,26.60,1.06,22.34,3.19,0.00,38.30,8.51,0.00,70.21,29.79
2015,WA,17405,Bellevue School District,3742,Cherry Crest Elementary School,573,18,0,278,6,0,224,47,0,295,278,10,8,0,0,136,142,2,4,0,0,122,102,25,22,0,0,3.14,0.00,48.52,1.05,0.00,39.09,8.20,0.00,51.48,48.52
2015,WA,17405,Bellevue School District,3338,Chinook Middle School,"1,026",60,0,285,26,2,537,116,0,514,512,18,42,0,0,150,135,11,15,1,1,270,267,64,52,0,0,5.85,0.00,27.78,2.53,0.19,52.34,11.31,0.00,50.10,49.90
2015,WA,17405,Bellevue School District,2847,Clyde Hill Elementary,662,38,2,252,11,1,307,51,0,345,317,18,20,1,1,138,114,5,6,0,1,149,158,34,17,0,0,5.74,0.30,38.07,1.66,0.15,46.37,7.70,0.00,52.11,47.89
2015,WA,17405,Bellevue School District,3036,Eastgate Elementary School,441,33,3,143,7,1,200,54,0,251,190,21,12,2,1,81,62,3,4,0,1,118,82,26,28,0,0,7.48,0.68,32.43,1.59,0.23,45.35,12.24,0.00,56.92,43.08
2015,WA,17405,Bellevue School District,2846,Enatai Elementary School,544,57,0,139,19,0,271,58,0,275,269,24,33,0,0,76,63,13,6,0,0,134,137,28,30,0,0,10.48,0.00,25.55,3.49,0.00,49.82,10.66,0.00,50.55,49.45
2015,WA,17405,Bellevue School District,3166,Highland Middle School,533,156,0,106,22,0,205,44,0,274,259,76,80,0,0,59,47,10,12,0,0,109,96,20,24,0,0,29.27,0.00,19.89,4.13,0.00,38.46,8.26,0.00,51.41,48.59
2015,WA,17405,Bellevue School District,3588,Interlake Senior High School,"1,590",230,2,531,46,2,647,132,0,828,762,123,107,2,0,278,253,30,16,2,0,327,320,66,66,0,0,14.47,0.13,33.40,2.89,0.13,40.69,8.30,0.00,52.08,47.92
2015,WA,17405,Bellevue School District,3522,International School,568,15,1,193,5,0,292,62,0,269,299,6,9,1,0,87,106,2,3,0,0,149,143,24,38,0,0,2.64,0.18,33.98,0.88,0.00,51.41,10.92,0.00,47.36,52.64
2015,WA,17405,Bellevue School District,5308,Jing Mei Elementary School,175,8,0,99,1,0,29,38,0,74,101,1,7,0,0,43,56,0,1,0,0,17,12,13,25,0,0,4.57,0.00,56.57,0.57,0.00,16.57,21.71,0.00,42.29,57.71
2015,WA,17405,Bellevue School District,3225,Lake Hills Elementary,485,207,3,87,17,0,133,38,0,231,254,103,104,2,1,41,46,7,10,0,0,65,68,13,25,0,0,42.68,0.62,17.94,3.51,0.00,27.42,7.84,0.00,47.63,52.37
2015,WA,17405,Bellevue School District,3436,Medina Elementary School,555,16,1,219,1,0,272,45,1,292,263,9,7,0,1,109,110,0,1,0,0,152,120,22,23,0,1,2.88,0.18,39.46,0.18,0.00,49.01,8.11,0.18,52.61,47.39
2015,WA,17405,Bellevue School District,3437,Newport Heights Elementary,623,47,3,199,15,7,278,74,0,349,274,27,20,2,1,108,91,9,6,4,3,153,125,46,28,0,0,7.54,0.48,31.94,2.41,1.12,44.62,11.88,0.00,56.02,43.98
2015,WA,17405,Bellevue School District,3486,Newport Senior High School,"1,730",85,3,746,37,3,712,144,0,885,845,35,50,2,1,386,360,20,17,2,1,366,346,74,70,0,0,4.91,0.17,43.12,2.14,0.17,41.16,8.32,0.00,51.16,48.84
2015,WA,17405,Bellevue School District,3631,Odle Middle School,782,108,2,406,23,0,188,55,0,438,344,50,58,2,0,228,178,12,11,0,0,114,74,32,23,0,0,13.81,0.26,51.92,2.94,0.00,24.04,7.03,0.00,56.01,43.99
2015,WA,17405,Bellevue School District,3168,Phantom Lake Elementary,408,75,0,92,13,1,183,44,0,231,177,42,33,0,0,59,33,7,6,0,1,100,83,23,21,0,0,18.38,0.00,22.55,3.19,0.25,44.85,10.78,0.00,56.62,43.38
2015,WA,17405,Bellevue School District,3224,Puesta del Sol Elementary School,568,115,0,71,5,0,311,65,1,277,291,57,58,0,0,28,43,3,2,0,0,152,159,36,29,1,0,20.25,0.00,12.50,0.88,0.00,54.75,11.44,0.18,48.77,51.23
2015,WA,17405,Bellevue School District,3282,Sammamish Senior High,946,191,4,190,49,0,441,71,0,503,443,101,90,3,1,107,83,23,26,0,0,230,211,39,32,0,0,20.19,0.42,20.08,5.18,0.00,46.62,7.51,0.00,53.17,46.83
