School Year,State,District Code,District Name,School Code,School Name,Grade,Total,Hispanic / Latino of any race(s),American Indian / Alaskan Native,Asian,Black / African American,Native Hawaiian / Other Pacific Islander,White,Two or More Races,Not Provided*,Male,Female,Hispanic / Latino of any race(s)_M,Hispanic / Latino of any race(s)_F,American Indian / Alaskan Native_M,American Indian / Alaskan Native_F,Asian_M,Asian_F,Black / African American_M,Black / African American_F,Native Hawaiian / Other Pacific Islander_M,Native Hawaiian / Other Pacific Islander_F,White_M,White_F,Two or More Races_M,Two or More Races_F,Not Provided_M*,Not Provided_F*,% Hispanic / Latino of any race(s),% American Indian / Alaskan Native,% Asian,% Black / African American,% Native Hawaiian / Other Pacific Islander,% White,% Two or More Races,% Not Provided*,% Male,% Female
2015,WA,39201,Sunnyside School District,2959,Sunnyside High School,12,444,398,1,0,0,0,43,2,0,223,221,199,199,0,1,0,0,0,0,0,0,23,20,1,1,0,0,89.64,0.23,0.00,0.00,0.00,9.68,0.45,0.00,50.23,49.77
2015,WA,39201,Sunnyside School District,2717,Washington Elementary,PK,2,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
2015,WA,39201,Sunnyside School District,2717,Washington Elementary,K2,2,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
2015,WA,39201,Sunnyside School District,2717,Washington Elementary,1,144,130,1,0,0,0,13,0,0,75,69,67,63,1,0,0,0,0,0,0,0,7,6,0,0,0,0,90.28,0.69,0.00,0.00,0.00,9.03,0.00,0.00,52.08,47.92
2015,WA,39201,Sunnyside School District,2717,Washington Elementary,2,144,137,0,0,0,0,7,0,0,75,69,69,68,0,0,0,0,0,0,0,0,6,1,0,0,0,0,95.14,0.00,0.00,0.00,0.00,4.86,0.00,0.00,52.08,47.92
2015,WA,39201,Sunnyside School District,2717,Washington Elementary,3,142,135,0,0,0,0,6,1,0,79,63,76,59,0,0,0,0,0,0,0,0,3,3,0,1,0,0,95.07,0.00,0.00,0.00,0.00,4.23,0.70,0.00,55.63,44.37
2015,WA,39201,Sunnyside School District,2717,Washington Elementary,4,125,114,0,0,0,0,11,0,0,66,59,59,55,0,0,0,0,0,0,0,0,7,4,0,0,0,0,91.20,0.00,0.00,0.00,0.00,8.80,0.00,0.00,52.80,47.20
2015,WA,39201,Sunnyside School District,2717,Washington Elementary,5,121,103,0,0,0,0,14,4,0,58,63,51,52,0,0,0,0,0,0,0,0,6,8,1,3,0,0,85.12,0.00,0.00,0.00,0.00,11.57,3.31,0.00,47.93,52.07
2015,WA,18902,Suquamish Tribal Education Department,5319,Chief Kitsap Academy,6,17,2,6,0,1,0,3,5,0,8,9,0,2,2,4,0,0,1,0,0,0,1,2,4,1,0,0,11.76,35.29,0.00,5.88,0.00,17.65,29.41,0.00,47.06,52.94
2015,WA,18902,Suquamish Tribal Education Department,5319,Chief Kitsap Academy,7,9,3,2,0,1,0,0,3,0,2,7,0,3,0,2,0,0,0,1,0,0,0,0,2,1,0,0,33.33,22.22,0.00,11.11,0.00,0.00,33.33,0.00,22.22,77.78
